prompt,completion
Advice for coping with anxious attachment?,"There are a few things you can do to work on your anxious attachment: 

-Identify your triggers and work on addressing them. This may involve therapy or working with a coach to help you understand your triggers and how to deal with them in a healthy way.

-Work on building self-esteem and self-compassion. This includes accepting yourself for who you are, flaws and all.

-Practice self-care. This means making time for activities that make you happy and help you relax. This could include things like yoga, meditation, nature walks, journaling, etc.

-Talk to your partner about your anxiety and what you need from them to feel secure. This can help them"
I blame my past relationship for it. I know it is bad to be this way. I want to get past it.,"It sounds like you feel like you need to protect yourself from getting hurt again in a future relationship. It is understandable that you would feel this way after experiencing a hurtful past relationship. However, it is important to try to move past this so that you can have a healthy and happy future relationship. There are a few things that you can do to try to overcome this fear. First, try to talk to your friends or family about your past relationship and why it ended. This can help you to see the situation in a different light and realize that not all relationships have to end badly. Second, try to be more open with your future partner. Talk to them about your fears and why you feel the need to protect yourself. This will"
I haven’t been feeling myself for a while…I don’t know what to do,"You might want to consult with a mental health professional to see if you are experiencing any clinical symptoms of depression or anxiety. It may also be helpful to talk to a trusted friend or family member about how you're feeling. Additionally, there are many self-care activities that can help improve your mood, such as exercise, journaling, or spending time outdoors."
I gave the worst thesis proposal presentation,"It is not uncommon for students to have difficulties when presenting their thesis proposal. There are a number of things that can contribute to a poor presentation, such as nerves, inexperience, or simply not being well-prepared. If you find yourself in this situation, there are a few things you can do to try and salvage the situation.

First, try to stay calm and focused. It can be easy to get flustered and lose your train of thought when things are not going well, but try to stay as calm as possible. Take a few deep breaths and try to relax.

Second, try to focus on the positive aspects of your presentation. Even if it is not going as well as you had hoped,"
"I have been in a relationship with my boyfriend for about six years now. In the past, our relationship was difficult and frustrating. We argued a lot, and due to that, there was a lot of tension between us. We stayed together because we love each other and wanted to make it work. I used to party a lot, and several times I got into situations where I would end up kissing someone else. These situations were never more than just kissing. I have come clean about these situations with my boyfriend, and he decided to forgive and move forward with me. I love him so much and want to work things out too, but I'm having a difficult time understanding how he can forgive me. I can't seem to forgive myself. I'm overwhelmed with feelings of guilt and unworthiness.","It sounds like you are feeling a lot of guilt and shame about your past behavior. It's understandable that you would feel this way, especially if your boyfriend has forgiven you. It's important to remember that everyone makes mistakes, and that what's important is how you learn from them and move forward. It sounds like you are doing that, and so is your boyfriend. Try to focus on the positive aspects of your relationship and the progress you have made, rather than dwelling on the negative. If you find it difficult to forgive yourself, talk to a therapist or counselor who can help you work through these feelings."
"All my friends have either hooked up or had a girlfriend but me. I try to be happy for them, but I get really upset every time they hook up.","I'm sorry to hear that you feel left out when your friends hook up. It can be tough to see other people find happiness in relationships when we feel like we're struggling to find that same happiness. However, it's important to remember that everyone's journey is different. Just because your friends have found someone to hook up with or have started dating doesn't mean that you're never going to find that same happiness. There's someone out there for everyone, so don't give up hope. Hang in there and eventually you'll find what you're looking for."
"It's the way my mom said I was worth nothing, stupid, no point of being in school. I'm ""lazy little fat.""",This is an example of how someone's parents can negatively affect their child's self-esteem. The child in this example may start to believe that they are worthless and stupid because that is what their parents have told them. This can lead to the child feeling bad about themselves and may even make them give up on school.
"I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything.    All I usually do is stay in my room. I want to be happy, I want to be nice. What's wrong with me?","There could be a number of things causing you to feel this way. It could be a chemical imbalance, depression, anxiety, or a number of other things. If you're concerned, you should speak to a doctor or mental health professional to get a proper diagnosis and treatment plan."
How to deal with intrusive thoughts as a coping mechanism,"There are many ways to deal with intrusive thoughts, but one of the most effective coping mechanisms is to simply acknowledge them and then let them go. Don't dwell on them or try to fight them off, but simply let them come and go without giving them too much attention. If you can do this, you'll find that the thoughts will eventually start to fade away on their own."
"My ex-boyfriend, will not stop harassing and stalking me. We work together. I honestly think he needs help to move on. His accusations are angry lies. But I think he may believe them to be true.","You should definitely reach out to your company's HR department and discuss your concerns with them. If your ex-boyfriend is harassing and stalking you at work, that is definitely not appropriate behavior and your company should take steps to address the situation."
"I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semi-relationship should be joyous, for me, it’s an emotional nightmare I can’t get to the bottom of. I’ve had this before and had to leave the semi-relationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship?
   While I’m not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I don’t take medications and have no desire to, I have read forums, and I’ve talked about the issue with my sister who has faced similar problems.","There are a few different possibilities as to why you might be experiencing this anxiety around relationships. It could be a combination of factors, including nerves, a fear of bad relationships, and possibly even some unresolved issues from past relationships. If you can, it might be helpful to talk to a therapist or counselor who can help you explore these issues further and find some tools to help you manage your anxiety. In the meantime, try to focus on taking care of yourself and taking things slowly when it comes to any potential relationships."
I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy?,"There is no single answer to this question, as it will vary depending on your specific situation. However, it is generally recommended that you speak with your primary care physician or mental health professional about your concerns. They will be able to assess your symptoms and provide you with recommendations for treatment."
"My husband and I would've been married for five years come June 2016. Our infant daughter just had her birthday. Shortly before, he told me he wanted a divorce. He has four other children, three of which are from his first wife. He decided to end that marriage when his youngest was an infant. The children do not have a good relationship with him now. He has another child from a woman he was dating. He decided he didn't want to be with her anymore when the child was an infant.    It seems to me that there is a pattern. He easily detaches from relationships at the same time in the child's life but wants a relationship with them when they are older. I've tried to research online, but I'm not getting any answers. He also has an unhealthy dependency on alcohol and does not believe in mental health disorders such as depression and bi-polar disorder. He also does not believe in therapy or seeking help from professionals. Is there a detachment disorder or some form of mental block he could have? Where do you recommend researching this?","There is no specific ""detachment disorder"" that I am aware of, but it is possible that your husband may be suffering from a form of mental illness that makes it difficult for him to maintain close relationships. It is also possible that he has a problem with alcohol dependence that contributes to his difficulty in maintaining close relationships. I would recommend that you research both of these possibilities further and talk to a mental health professional to get their opinion on what may be going on with your husband."
"My husband always works. He does work from home, but his hours are from morning until night, and he neglects his family. If I have anything I want to do, I have to find a babysitter, but he does what he wants. He rarely comes to bed when I do, and we never have date nights.","This is not an ideal situation. You and your husband should discuss ways to spend more time together. Perhaps he can work fewer hours, or you can find a babysitter for the occasional night out."
I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident?,"There are a few things that you can do in order to start accepting yourself and be more confident. First, try to focus on your positive qualities and attributes. Write them down if you need to, and refer to them when you are feeling low about yourself. Secondly, try to engage in activities that make you feel good about yourself, such as exercise, hobbies, or spending time with people who make you feel good. Finally, try to be mindful of your thoughts and reframe any negative thoughts about yourself into positive ones."
"My mom made a lot of mistakes a couple years back, and I can't seem to forgive her. I want to say that it's okay, but I can't. I feel like even if I did forgive her, I wouldn't be able to say it to her face.","It's okay to feel angry and hurt towards your mom for the mistakes she made. However, it's important to try to forgive her and move on. If you can't say it to her face, you can try writing her a letter expressing your forgiveness."
How to help my friend?,"There are a few things you can do to help your friend feel better:

- Listen to them and offer support
- Help them find healthy coping mechanisms
- Encourage them to seek professional help if needed"
"Any time things get heated, the past gets brought up. I raise my voice at her to try to get a point across. She asks open-ended questions but always has to turn my own answer against me. She's seven months pregnant. I have drank in the past, but I'm not dependent on alcohol—I only drink at social events.","It sounds like your wife is feeling insecure and is using your past drinking habits as a way to try to control you. This is likely to be a bigger issue for her during pregnancy, when she is feeling more vulnerable. Try to be understanding and patient, and see if you can work together to find a solution that works for both of you."
"everything to lose, but nothing to live for",There is nothing more tragic than someone who has everything to lose and nothing to live for. This person has no reason to keep going and no hope for the future. Their life is empty and meaningless.
"I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?","There could be a few reasons why you're not feeling interested in anyone at the moment. It could be that you're still healing from your previous relationship and need some more time to yourself. Alternatively, it could be that you're subconsciously raising your standards after seeing what you're truly capable of in a healthy relationship. Either way, it's important to trust your gut and take things at your own pace. If you're not ready to date again yet, that's perfectly okay. Focus on enjoying your own company and the things that make you happy."
"I have everything in life, but my self-esteem does not exist","This is a difficult question to answer, as self-esteem is a complex and multi-faceted concept. However, a few possible reasons why someone might have everything in life but no self-esteem could include feelings of being undeserving or unworthy, insecurity or self-doubt, or simply not valuing oneself. It is important to remember that everyone has different needs and experiences, so what one person needs to feel good about themselves may not be the same for another. If you are struggling with self-esteem, it might be helpful to talk to a therapist or counselor who can help you explore the root causes of your low self-esteem and develop healthy coping mechanisms."
"I'm in love with my own gender, and my parents are against that. I don't know how to tell them because I'm afraid they'll not want me anymore.","It can be difficult to come out to your parents, especially if you are worried about their reaction. However, it is important to remember that you are not alone – there are many other people in the world who identify as LGBTQIA+, and your parents can learn to accept and support you.

One way to approach the conversation is to start by telling your parents that you need to talk to them about something important. You can then explain that you are attracted to people of the same gender, and that you want them to know and accept this part of you. You can also reassure them that you are still the same person they love, and that nothing has changed except your understanding of your own identity.

It is also important to"
"I was texting a guy who wasn't my boyfriend, and my boyfriend found out. We work together, so he went to work and told everyone I was cheating on him. I moved out of the house. There have been previous problems, and I feel like I'm usually the issue here. In order for us to move on, he wants me to sign this contract that he wrote out listing things he doesn't want me to do anymore. I'm wondering if this a healthy relationship to save or if I should walk away.","If your boyfriend feels like he needs a contract in order to trust you, then that is not a healthy relationship. Trust should be built on communication and mutual respect, not on a legal document. If you don't feel like you can trust your boyfriend or communicate openly with him, then it may be time to walk away."
"My boyfriend moved in with me a few months ago. I love him, but his dog is wrecking my house. Every day we get home, there is a huge mess on the floor, and several things will be ripped up (including the couch). He's slowly eating all of the doors, and there will be food and poop everywhere. Even though I come home during all of my breaks to take him out, he still poops and pees in the house every chance. I can't financially afford to have the dog wrecking my house. I've tried talking to my boyfriend about the dog to try and come up with a solution, but it never ends well. The dog is the only thing we fight about because I want him out of the house and my boyfriend doesn't want to see him go. It’s not the dog fault though; I understand that. The dog is only a year old, and he isn't a bad dog. He's just too big of a dog for where he is; he should be a farm dog instead of a town dog. I don't hate the dog, but I just can't afford to continue having my house torn to pieces.","It sounds like you have tried to talk to your boyfriend about the situation, but it isn't working out. Perhaps you could try to find a compromise - for example, see if there is a way to crate the dog when you are not home so that he can't destroy the house. If that isn't possible, or if your boyfriend is unwilling to compromise, then you may have to consider breaking up with him. It isn't fair to you to have to put up with this situation, and it doesn't sound like your boyfriend is willing to do anything to change it."
its so scary to see how many people in my generation feels like this its not fair <3,I'm sorry to hear that so many people in your generation feel this way. It's not fair that anyone should feel like they can't pursue their dreams because of their mental health. I hope that more people in your generation feel empowered to seek help and treatment so that they can live the lives they want to live.
I need some serious fucking help.,"1

Question 2:

What is the difference between the following two pieces of code?

Code A:

int x = 10;
x++;

Code B:

int x = 10;
++x;

Answer: Code A increments x after it is used in the expression, while code B increments x before it is used in the expression."
"I got involved with my best friend who is married but has been very unhappy for the last five years. We both fell in love and have been together for eight months. He left the house and filed for divorce. He decided to tell her about our relationship, and she is willing to forgive and work on things. This shook him. They have two kids together. He decided to put the divorce on hold. He left town for a month to get clarity on the situation and see a therapist.","This is a difficult situation. If your friend is married and has children, then he has a responsibility to them that he needs to consider. If he is unsure about the divorce, then it may be best to put it on hold for now and explore other options. If his wife is willing to forgive and work on things, then that is a positive sign. However, your friend needs to make sure that he is doing what is best for him and his family."
4 Realizations leading to Long-term Happiness,"1. Realize that happiness is a choice. You can choose to be happy regardless of your circumstances.
2. Realize that you are in control of your own happiness. You are the only one who can make yourself happy.
3. Realize that happiness comes from within. It is not dependent on what is happening around you.
4. Realize that happiness is a state of mind. It is not something that you can achieve or attain."
Does anyone have this problem with hyper sexuality when linking with trauma?,"There is no one-size-fits-all answer to this question, as everyone experiences trauma and sexuality differently. However, it is not uncommon for people who have experienced trauma to develop hypersexuality as a way of coping with the pain and trauma. If you are experiencing this, it is important to seek professional help to address the underlying issues and to develop healthy coping mechanisms."
I have been having a lot of nightmares where I am being killed in different ways. I either wake up in a panic or just crying and sweating. It has made me terrified of falling asleep and is now affecting my daily life too. Can I make the nightmares stop?,"There are a few things that you can do in order to try and stop having nightmares. One thing that you can do is try and relax before you go to bed. This can help to calm your mind and prevent you from having nightmares. Another thing that you can do is to keep a dream journal. This can help you to keep track of your dreams and to see if there are any patterns that you can identify. If you find that you are having the same nightmare over and over again, you may want to try and talk to someone about it. This can help you to understand what the nightmare is trying to tell you and to find a way to deal with it."
i dont know what's happened to me.,I don't know what's happened to you.
I dont know it anymore,I don't know it anymore.
Am I being to Hard on Myself?,Yes
"I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing.
   What can I do to manage my stress?","There are a few things you can do to manage your stress, especially if you feel like you're being overworked and underpaid. First, try to communicate with your boss or supervisor about your workload and stress levels. It's possible that they may not be aware of how much you're actually doing or how stressed you feel. Second, make sure to take care of yourself both physically and mentally. This means eating healthy, getting enough sleep, and exercising regularly. Finally, try to find healthy ways to cope with stress, such as talking to friends or family, journaling, or meditating."
My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my life.,"There are a number of things you can do to try and improve your situation. First, it is important to talk to your doctor about your feelings of anxiety and depression. They can help you determine if you are experiencing a clinical disorder that requires treatment. If so, they can prescribe medication or refer you to therapy.

There are also things you can do on your own to try and improve your mood and outlook. Exercise has been shown to be very effective in treating symptoms of anxiety and depression. Eating a healthy diet and getting enough sleep are also important. You might also want to try relaxation techniques or meditation.

If you are struggling to find the motivation to get out of bed and improve your life, it might be helpful to"
"My ex-boyfriend and I met over a year ago. We hit it off and fell in love pretty quick. However, he has trust issues and assumed I was cheating. When I found out I was pregnant, we had just broken up. Five months later, I lost the baby, and we did not speak for a few weeks. Now we are talking, and he says he loves me but is afraid I will hurt him ""again."" I just want to know where to go with this because I love him so much, and I want to get back to us being happy and a family.","If your ex-boyfriend has trust issues and is afraid you will hurt him ""again,"" it may be difficult to rebuild trust and get back to a happy relationship. It sounds like he may need some time and space to work through his issues. In the meantime, you could try communicating openly and honestly with him, being patient and understanding, and making an effort to rebuild trust. If you can both be patient and work on rebuilding trust, you may be able to get back to a happy and healthy relationship."
"I met this girl in high school. She had switched schools at the end of the year, and I have not seen her since. It's been a few years. We had a very good and friendly relationship, and we seemed to have a lot in common. I never gained the courage to ask her out.","It sounds like you had a really great connection with this girl, and it's a shame you didn't get the chance to ask her out while you were in high school together. If you're interested in trying to find her again, you could try reaching out to mutual friends or searching for her online. Good luck!"
"After 40 years of being straight, how could I now find myself interested in people of the same sex? I have had a few same sex encounters of my own doing.","There is no one answer to this question, as everyone's experience is unique. It is possible that you have always had some level of attraction to people of the same sex, but only now feel comfortable exploring it. Alternatively, your interests may have changed over time for any number of reasons. Whatever the case may be, it is important to explore your feelings and figure out what makes you happy."
I'm 17 and I'm sick and tired of going back and forth. I'd like to stay at my mother's house. This problem has really affected me. I've had anxiety attacks and suicidal thoughts and self-harm in the past.    Currently I'm going through anxiety and my thearapist is not available. How do I handle this?,"If you're feeling like you can't handle the situation on your own, it's important to reach out for help. Talk to a trusted friend or family member, or seek professional help from a therapist or counselor. It's also important to take care of yourself emotionally and physically, so make sure to take breaks from the situation, eat healthy and exercise, and get plenty of rest."
Sometimes 3 times a night.,"There can be many causes for increased urination at night. It could be a sign of a medical condition, such as diabetes or an infection. It could also be a side effect of certain medications. If you are concerned about your increased urination, you should speak to your doctor."
"When I'm around people, I sometimes think someone has made a comment to me or asked me to do something. I will be focusing on something else and then randomly think I hear something about me. I never know if it was actually said.","This may be due to a condition called misophonia, which is characterized by a strong negative reaction to certain sounds. If you think you may be experiencing this, please consult with a mental health professional."
"He's gone for 11 weeks for a band camp. It's week two right now. We used to be Intimate a lot, and now since he's busy 12 hours a day, we can't really be Intimate, even over the phone. Is it normal for me to more sensitive in general?","It is normal for you to feel more sensitive in general when your partner is away for an extended period of time. You may find yourself feeling more emotionally connected to them when they are not physically present, and this can lead to heightened levels of anxiety and vulnerability. It is important to communicate with your partner about how you are feeling in order to maintain a healthy relationship."
"My husband has had issues with alcohol addiction in the past (he'd never admit to this). A while back (3 years ago), I asked him to stop drinking so much, and he agreed. I caught him one night drinking behind my back. I confronted him and he lied, but I told him I knew he was lying because I counted the beers in the fridge and four of them were missing. He admitted and apologized and promised he wouldn't do it again. Lately, my husband has been drinking on and off, but I noticed it was every single night. I didn't like this. For our New Year’s resolution, we decided we were going to limit our alcohol consumption. He was on board—no more drinking every night.
 The other night, I counted the beers in the fridge just to see if some were missing. It took a couple of days, but tonight, I discovered a few were missing along with a shot of vodka. He was passed out on the couch when I decided to wake him up and confront him (poor timing, but I couldn't wait). I asked him if he'd come to bed with me (when he drinks, he snores and I cannot sleep—it's a dead giveaway he's been drinking). He slurred a bit and said no. I asked if he had been drinking, but he snapped and said no. I went into our room to sleep, leaving him on the couch.  I'm not sure if I'm overreacting or not. I just feel like I'm so honest with him about everything, and I expect the same honesty. He is a good husband in every other regard.","It sounds like you have every right to be upset with your husband for lying to you about drinking again. If he has promised to limit his alcohol consumption and is not following through on that, it is understandable that you would feel betrayed. It is important to communicate your feelings to him and to set clear boundaries about what you are and are not willing to tolerate in your relationship. If he is unwilling to be honest with you and to work on his drinking problem, it may be necessary to consider separation or divorce."
"My best friend and I were pranking her friend, and I told her to tell him that she likes him. She said no, but I forced her. After she told him, he told her that he likes her too. Their friendship is ruined because of me. She won't forgive me, and I feel really guilty. I feel like crying.",It sounds like you feel guilty about what you did and you are worried that your friend will never forgive you. It is important to apologize to her and explain how sorry you are. You may also want to try to make things right by helping her repair her friendship with the other boy.
"My mother has Alzheimer's and I can see that she has lost some of her intellectual abilities. Even though I know this disease is not her fault, I’m still finding it difficult to separate my own feelings of disappointment and frustration when my mom seems to ignore my opinions and wishes, and seems","It can be difficult to see a loved one going through the changes associated with Alzheimer's disease. It is important to remember that the disease is not their fault, and that they are still the same person, even if their abilities have changed. Try to focus on the positive aspects of your relationship and be patient with them."
"I use to be so happy. No matter what, I always was happy. I got into a relationship with this guy. I love him so much. We’re both teenagers. The week after his birthday, my mom made me stop talking to him. It broke me. He came to my house and talked to her, and she let us date again but not see each other. He comes up to my school every day and it tears me apart that I have to lie to her.","It sounds like you're in a really tough situation. It's understandable that you're feeling so upset and confused. It's important to try to talk to your mom about how you're feeling and see if there's a way to work out a compromise that would work for both of you. In the meantime, try to stay positive and focus on the good things in your life."
can anyone help me please- another fight,"There is no one-size-fits-all answer to this question, as the best way to deal with a fight will vary depending on the situation. However, some tips on how to deal with a fight include:

-Try to stay calm and rational. This can be difficult in the heat of the moment, but it will help you to avoid making the situation worse.

-Talk to the person you are fighting with. This can help to diffuse the situation and allow you to resolve your differences.

-If the situation becomes physical, try to avoid injuring the other person. This will only make the situation worse."
Anxiety about having my throat touched,"There is a condition known as glossophobia which is an extreme fear of having anything touch the throat area. This can be a very debilitating condition as it can make it difficult to eat, drink, or even speak. If you have this condition, it is important to seek treatment as it can be very impairing to your quality of life."
I wanna die (trigger warning),"This isn't an appropriate question for our site. If you need help, please seek professional help."
"I was in a situation with a guy. He’s my brother’s friend and kind of like a brother to me. He invited me over to hang out, and then came on to me. I was instantly terrified to say no, and I gave in. I don't know what's wrong with me. I can't figure out why I'm afraid to say no. This is giving me a lot of guilt and depression.","There could be a few reasons why you might have felt afraid to say no to this guy. It could be that you felt like you owed him something because he's your brother's friend, or that you didn't want to hurt his feelings. Alternatively, it could be that you were afraid of his reaction if you said no - perhaps he would have gotten angry or upset, and you didn't want to deal with that.

Whatever the reason, it's important to remember that you always have the right to say no to anything that makes you uncomfortable. If you don't want to do something, you don't have to do it. It's okay to set boundaries and to assert yourself. The next time this guy tries to pressure"
My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.,"It's understandable that you're finding it difficult to move on after your husband cheated on you. Being betrayed by someone you love can be a very painful experience. If you're still struggling to come to terms with what happened, it might be helpful to talk to a therapist or counselor who can help you work through your feelings. In the meantime, try to focus on taking care of yourself and doing things that make you happy. Surround yourself with supportive friends and family members, and don't be afraid to lean on them for help and comfort."
I am sick of been told that I am just attention seeking for having so many issues.,§§\frac{dn}{dt}=rn-\alpha n^2$$
My insecurities are dictating my life and I want to die,"If you're feeling like your insecurities are dictating your life and you want to die, it's important to reach out for help. There are many resources available to you, and speaking with a therapist or counselor can be a great first step. There are also hotlines available, such as the National Suicide Prevention Lifeline at 1-800-273-8255, which can provide you with support and resources. Remember that you are not alone in this, and there is help available."
I can't be the only one who always supports but never receives back?,"Remember that friends are a two-way street. If you find that you are always the one supporting your friends and never receiving back, it may be time to reconsider your relationships. Friendships should be supportive and mutually beneficial. If you feel like you are always giving and never receiving, it may be time to find new friends."
I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?,"There are a number of ways that you can deal with depression without telling anyone. One way is to seek professional help. This can be done by talking to your doctor or a mental health professional. Another way is to join a support group. This can provide you with the support and resources you need to deal with your depression. Finally, you can also try self-help techniques such as meditation or journaling."
How to Love Yourself The Ultimate Guide to Prioritizing Your Mental and...,"There is no one-size-fits-all answer to this question, as the best way to love yourself may vary depending on your individual needs and preferences. However, some tips on how to love yourself may include making time for self-care activities that make you happy, setting aside time for reflection and contemplation, and expressing gratitude for the good things in your life. Additionally, it can be helpful to reach out to others for support and encouragement when needed, and to be accepting and understanding of your own flaws and imperfections."
"Final year psychology university student, if anyone can help!!","There are a few things that you can do in order to improve your study habits as a psychology student. First, try to create a study schedule and stick to it as much as possible. This will help you to stay organized and on track with your studies. Additionally, try to find a quiet place to study where you can focus and concentration. Finally, make sure to take breaks every so often so that you do not get overwhelmed or bogged down by the material."
I have twin toddlers. I experienced a death of loved one prior to giving birth. I had a horrible break up with the father. People told him he was using me for money. My ex-boyfriend had extreme meltdowns every day for three years. I’m always alone with no friends.,"If you're feeling lonely, try joining a local parents' group or taking your twins to a weekly playdate. You may also want to seek out counseling to help deal with your previous loss and break-up. It's important to have a support system, so reach out to your family and close friends for help and conversation."
I'm not sure if I'm experiencing anxiety,"There are many possible causes of anxiety, and it can be difficult to determine the root cause without professional help. However, some common causes of anxiety include stress, genetic predisposition, and certain medical conditions. If you are experiencing anxiety, it is important to see a doctor or mental health professional to rule out any medical causes and to develop a treatment plan."
I avoid talking to him because he always makes me more upset. I can't be honest with him about anything because he is always rude to me.,Steer clear of him.
"I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?","There's no shame in seeking professional help to deal with your anxiety and paranoia. It's possible that you suffer from a specific phobia or anxiety disorder that can be treated with therapy and/or medication. In the meantime, there are some things you can do to try to ease your symptoms. Avoiding triggers, such as being around kids, is one obvious step. Practicing relaxation techniques, such as deep breathing or progressive muscle relaxation, can also help. And finally, it can be helpful to reframe your thinking about the situation. Instead of thinking ""I'm a bad person,"" try to remind yourself that you're not a danger to anyone and that your fear is just a symptom of your anxiety."
"She's a teenager, and for the last two years, she's lived with her older brother. She's angry because she wants to come live with me, but my current living situation is not the best for her. She refuses to see any reason. She's being disrespectful. Her sexual curiosity is waking up.","It's normal for teenagers to want more independence, and it sounds like your daughter is no different. However, it's important to respect your decision as a parent and understand why you might not want her to live with you at this time. It sounds like she's going through a lot of changes and may benefit from living with her older brother for a little while longer. Try to have an open and honest conversation with her about your decision and see if you can reach a compromise."
